geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Montgomery County, KY","county",05000US21173,0.254,0.253,0.238,7.6,6.5,,37312,38373,39275,39750
"Morgan County, KY","county",05000US21175,0.376,0.297,0.258,,,,30658,29730,29707,32517
"Muhlenberg County, KY","county",05000US21177,0.279,0.248,0.221,,,,38105,38849,38961,40445
"Nelson County, KY","county",05000US21179,0.298,0.233,0.217,,,,43833,45655,49298,51408
"Nicholas County, KY","county",05000US21181,0.298,0.223,0.236,,,,43081,41996,36097,37993
"Ohio County, KY","county",05000US21183,0.265,0.24,0.228,,,,40830,39574,40189,39479
"Oldham County, KY","county",05000US21185,0.143,0.182,0.172,,,,83391,84447,85452,86324
"Owen County, KY","county",05000US21187,0.335,0.214,0.222,,,,41009,40995,41934,41597
"Owsley County, KY","county",05000US21189,0.405,0.289,0.267,,,,19986,19146,20985,22106
"Pendleton County, KY","county",05000US21191,0.279,0.218,0.206,,,,45480,46085,48353,49766
"Perry County, KY","county",05000US21193,0.329,0.27,0.247,7.2,10.6,11.1,33528,32302,32667,31578
"Pike County, KY","county",05000US21195,0.309,0.264,0.242,5,4.1,4.5,32961,32571,33183,32816
"Powell County, KY","county",05000US21197,0.445,0.273,0.241,11,,,26839,29141,29736,34048
"Pulaski County, KY","county",05000US21199,0.273,0.25,0.235,2.9,3.2,3.6,34092,33425,34790,34673
"Robertson County, KY","county",05000US21201,0.326,0.235,0.217,,,,31786,30479,31741,30964
"Rockcastle County, KY","county",05000US21203,0.276,0.264,0.242,,,,30674,31536,31555,33500
"Rowan County, KY","county",05000US21205,0.251,0.244,0.228,,,,35236,40697,36860,36216
"Russell County, KY","county",05000US21207,0.309,0.243,0.241,,,,29721,30773,30720,31539
"Scott County, KY","county",05000US21209,0.152,0.211,0.19,,,,61893,62134,63027,64329
"Shelby County, KY","county",05000US21211,0.27,0.203,0.2,4.3,4.2,3.6,57298,57890,60324,61737
"Simpson County, KY","county",05000US21213,0.301,0.234,0.217,,,,39546,39055,39679,42288
"Spencer County, KY","county",05000US21215,0.321,0.188,0.189,,,,65209,65149,63000,65700
"Taylor County, KY","county",05000US21217,0.227,0.245,0.245,7.4,6.7,5.8,36384,35521,33340,32977
"Todd County, KY","county",05000US21219,0.285,0.236,0.233,,,,41541,41047,40497,41306
"Trigg County, KY","county",05000US21221,0.264,0.21,0.217,,,,45629,45303,44083,45032
"Trimble County, KY","county",05000US21223,,0.215,0.21,,,,49718,47119,47409,45935
"Union County, KY","county",05000US21225,0.209,0.264,0.258,,,,39125,38367,40120,41255
"Warren County, KY","county",05000US21227,0.254,0.23,0.204,2.8,2.7,3.2,44135,45209,44911,46929
"Washington County, KY","county",05000US21229,0.21,0.214,0.21,,,,40845,39313,40976,43719
"Wayne County, KY","county",05000US21231,0.289,0.25,0.26,,,,29497,29295,28573,30260
"Webster County, KY","county",05000US21233,0.273,0.219,0.221,,,,41415,40852,38917,38374
