geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Crockett County, TN","county",05000US47033,0.271,0.241,0.235,,,9.8,36066,37298,35464,38043
"Cumberland County, TN","county",05000US47035,0.174,0.222,0.195,7.7,8.6,6,37188,38350,38576,40123
"Davidson County, TN","county",05000US47037,0.172,0.224,0.202,10,9,8.7,47335,47434,48368,50484
"Decatur County, TN","county",05000US47039,0.175,0.229,0.208,,,,36258,37219,37263,38180
"DeKalb County, TN","county",05000US47041,0.244,0.234,0.215,,,,37482,37409,38319,37640
"Dickson County, TN","county",05000US47043,0.261,0.23,0.228,6.3,6.4,6.3,44318,45056,44680,47137
"Dyer County, TN","county",05000US47045,0.333,0.239,0.235,5.6,6.1,,38953,41426,42468,42833
"Fayette County, TN","county",05000US47047,0.213,0.2,0.202,6.8,7.3,5.2,56618,55623,54890,55972
"Fentress County, TN","county",05000US47049,0.212,0.255,0.243,,,,29192,29784,30259,31714
"Franklin County, TN","county",05000US47051,0.239,0.212,0.203,,,,42904,42663,42773,44837
"Gibson County, TN","county",05000US47053,0.301,0.251,0.22,5.7,7.6,6.6,38343,37460,38457,38854
"Giles County, TN","county",05000US47055,0.263,0.234,0.202,,,,38495,38739,41093,40635
"Grainger County, TN","county",05000US47057,0.263,0.247,0.236,,,,32364,34566,35391,37522
"Greene County, TN","county",05000US47059,0.286,0.24,0.222,5.2,4.3,5,35545,35860,35196,36711
"Grundy County, TN","county",05000US47061,0.27,0.259,0.253,,,,26814,26856,27373,28467
"Hamblen County, TN","county",05000US47063,0.227,0.227,0.238,3.8,4.8,3.2,39596,38600,37617,39270
"Hamilton County, TN","county",05000US47065,0.192,0.201,0.214,7.2,7.1,7.4,46702,47880,48248,49434
"Hancock County, TN","county",05000US47067,0.396,0.277,0.257,,,,23892,26528,26898,27973
"Hardeman County, TN","county",05000US47069,0.273,0.278,0.245,12.8,12.3,11.8,30973,30260,31801,33566
"Hardin County, TN","county",05000US47071,0.236,0.241,0.248,6.7,9.1,7.2,33622,34084,35290,37244
"Hawkins County, TN","county",05000US47073,0.262,0.23,0.221,3.5,3.6,4.3,37357,37432,36927,37883
"Haywood County, TN","county",05000US47075,0.173,0.259,0.239,8.4,,,34542,33922,34182,35094
"Henderson County, TN","county",05000US47077,0.259,0.232,0.22,,,,38280,38696,38745,41478
"Henry County, TN","county",05000US47079,0.281,0.225,0.217,6.2,7.1,6.2,36950,38694,38234,38378
"Hickman County, TN","county",05000US47081,0.377,0.239,0.24,,,,39581,38032,36334,37546
"Houston County, TN","county",05000US47083,,0.234,0.232,,,,35271,38637,39401,40680
"Humphreys County, TN","county",05000US47085,0.221,0.211,0.198,,,,42846,41152,41949,40995
"Jackson County, TN","county",05000US47087,0.274,0.24,0.248,,,,33386,33500,31534,32676
"Jefferson County, TN","county",05000US47089,0.258,0.213,0.205,3.8,3.8,3.6,39745,41426,42417,43673
"Johnson County, TN","county",05000US47091,0.28,0.243,0.244,,,,29609,31711,30763,30180
"Knox County, TN","county",05000US47093,0.185,0.215,0.187,6,5.6,4.9,47694,47543,48701,50366
"Lake County, TN","county",05000US47095,0.249,0.285,0.271,,,,27115,29214,30086,29893
"Lauderdale County, TN","county",05000US47097,0.321,0.289,0.274,11.1,11.1,10.3,32326,31185,30281,32353
"Lawrence County, TN","county",05000US47099,0.281,0.238,0.22,5,4.3,,37368,37371,37814,40457
"Lewis County, TN","county",05000US47101,0.298,0.239,0.214,,,,34397,36114,36621,36920
"Lincoln County, TN","county",05000US47103,0.245,0.23,0.212,7.5,6.6,6.4,41571,41328,40389,41038
"Loudon County, TN","county",05000US47105,0.236,0.198,0.187,,,,51074,50619,51107,52995
"McMinn County, TN","county",05000US47107,0.223,0.222,0.217,4,4.1,4.9,39410,39644,38535,38661
"McNairy County, TN","county",05000US47109,0.261,0.25,0.239,6.5,,,33452,32214,32557,31956
"Macon County, TN","county",05000US47111,0.351,0.244,0.238,7.2,8.6,8.2,35306,34156,33509,34098
"Madison County, TN","county",05000US47113,0.196,0.217,0.212,11.1,11.6,11.5,41617,42069,42544,44237
"Marion County, TN","county",05000US47115,0.247,0.232,0.22,,,,41268,40998,41348,41477
"Marshall County, TN","county",05000US47117,0.247,0.243,0.219,,,,42291,41822,42661,44900
"Maury County, TN","county",05000US47119,0.257,0.222,0.214,9.3,8.5,5.8,45336,46565,47692,49597
"Meigs County, TN","county",05000US47121,0.358,0.253,0.238,12.7,,13.4,35150,33061,34424,35209
"Monroe County, TN","county",05000US47123,0.364,0.238,0.243,6.4,5.7,4.8,37595,37202,35291,37054
"Montgomery County, TN","county",05000US47125,0.275,0.231,0.242,6.7,6.1,6.5,49617,50693,50344,51528
"Moore County, TN","county",05000US47127,0.252,0.201,0.185,,,,46170,43393,49427,49496
"Morgan County, TN","county",05000US47129,0.314,0.249,0.239,7.2,7.9,9.8,37631,38003,39049,39728
"Obion County, TN","county",05000US47131,0.264,0.233,0.224,,,,39467,40327,40281,38933
"Overton County, TN","county",05000US47133,0.281,0.239,0.22,,,,34604,34913,35287,35065
"Perry County, TN","county",05000US47135,0.282,0.244,0.233,,,,32845,31750,31425,31274
"Pickett County, TN","county",05000US47137,,0.215,0.204,,,,35184,35510,36773,39014
"Polk County, TN","county",05000US47139,0.289,0.225,0.23,,,,39074,39434,38925,41520
"Putnam County, TN","county",05000US47141,0.181,0.232,0.229,3.5,3.8,3.9,33709,34780,35343,36350
"Rhea County, TN","county",05000US47143,0.198,0.234,0.226,,,,36741,37512,36146,38355
"Roane County, TN","county",05000US47145,0.157,0.214,0.206,6.3,5.8,5.1,42223,41726,40854,42299
"Robertson County, TN","county",05000US47147,0.239,0.22,0.198,6.8,6.3,5.7,52792,53748,53151,56331
"Rutherford County, TN","county",05000US47149,0.171,0.219,0.182,4.3,4.1,3.5,55401,55096,56219,58032
"Scott County, TN","county",05000US47151,0.511,0.272,0.252,,6.4,,28401,30206,30246,30897
"Sequatchie County, TN","county",05000US47153,0.299,0.232,0.214,,,,36434,42182,45408,46541
"Sevier County, TN","county",05000US47155,0.284,0.221,0.199,2.5,2.3,,43649,42499,42258,42586
"Shelby County, TN","county",05000US47157,0.173,0.209,0.204,16.7,16.6,16.4,46250,46213,46224,46854
"Smith County, TN","county",05000US47159,0.235,0.214,0.204,,,,42383,43988,43914,44272
"Stewart County, TN","county",05000US47161,,0.224,0.204,,,,39781,41089,42023,41835
"Sullivan County, TN","county",05000US47163,0.256,0.248,0.203,3.1,2.6,2.1,39479,39577,40346,40983
"Sumner County, TN","county",05000US47165,0.2,0.202,0.194,3.3,3.1,3.2,55509,56193,57382,58972
"Tipton County, TN","county",05000US47167,0.253,0.226,0.224,6.1,6.7,5.8,52423,53133,53669,54650
"Trousdale County, TN","county",05000US47169,,0.224,0.223,,,,43034,37211,41029,47667
"Unicoi County, TN","county",05000US47171,0.234,0.231,0.218,,,,32292,34346,33210,35390
"Union County, TN","county",05000US47173,0.238,0.251,0.24,,,,34399,36009,37351,38540
"Van Buren County, TN","county",05000US47175,0.394,0.233,0.224,,,,33547,34250,40439,42813
"Warren County, TN","county",05000US47177,0.209,0.244,0.23,3.6,,3.9,34641,34592,35376,36245
"Washington County, TN","county",05000US47179,0.241,0.226,0.219,3.4,2.7,3.1,42075,42935,42817,44444
"Wayne County, TN","county",05000US47181,0.228,0.251,0.242,8.9,,,33198,31225,30701,34008
"Weakley County, TN","county",05000US47183,0.254,0.245,0.221,4.1,4.5,,35273,35845,37037,38040
"White County, TN","county",05000US47185,0.292,0.241,0.227,5.9,5.1,6,34474,33933,34901,35989
"Williamson County, TN","county",05000US47187,0.109,0.162,0.147,1.9,1.6,1.2,89779,91743,96565,100140
"Wilson County, TN","county",05000US47189,0.29,0.201,0.183,2.9,3.2,3.7,60390,60095,61070,63426
"Anderson County, TX","county",05000US48001,0.216,0.177,0.196,7,6.6,6.9,40653,42511,41327,42146
"Andrews County, TX","county",05000US48003,,0.143,0.146,,,,57825,61250,70423,70121
"Angelina County, TX","county",05000US48005,0.207,0.185,0.203,5.8,6.3,6.4,41354,42374,44223,44185
"Aransas County, TX","county",05000US48007,,0.152,0.157,9.3,9,5.9,42476,42247,41690,44851
"Archer County, TX","county",05000US48009,,0.138,0.141,,,,56452,58274,60275,62407
"Armstrong County, TX","county",05000US48011,,0.124,0.123,,,,61635,61250,59737,65000
"Atascosa County, TX","county",05000US48013,0.383,0.151,0.155,4.7,6,8.3,47543,50756,52192,53181
"Austin County, TX","county",05000US48015,0.179,0.133,0.144,,5.1,,53265,54603,53687,56681
"Bailey County, TX","county",05000US48017,,0.182,0.183,,,,46139,41982,37397,40589
"Bandera County, TX","county",05000US48019,0.221,0.138,0.131,,,,49215,48587,49863,55434
"Bastrop County, TX","county",05000US48021,0.221,0.155,0.163,3.8,4.1,3.8,51750,53382,54821,55808
"Baylor County, TX","county",05000US48023,,0.148,0.151,,,,33445,33019,36373,34382
"Bee County, TX","county",05000US48025,,0.171,0.173,,4.4,6.2,43690,41738,42302,44005
"Bell County, TX","county",05000US48027,0.194,0.176,0.181,5.2,5.4,6.1,50060,51027,50550,51529
"Bexar County, TX","county",05000US48029,0.162,0.133,0.13,7,6.7,6.2,50112,50867,51150,52353
"Blanco County, TX","county",05000US48031,,0.132,0.139,,,,49487,51740,55504,56573
"Borden County, TX","county",05000US48033,,0.116,0.127,,,,71607,73333,73750,77569
"Bosque County, TX","county",05000US48035,0.39,0.145,0.148,,,,44742,44339,44674,45419
"Bowie County, TX","county",05000US48037,0.17,0.179,0.169,9.7,9.3,8.4,42346,42917,42670,42683
"Brazoria County, TX","county",05000US48039,0.15,0.138,0.143,4.1,4.3,3.5,67603,69092,69749,72006
"Brazos County, TX","county",05000US48041,0.131,0.155,0.132,3.1,2.8,3.1,38310,39060,39808,41654
"Brewster County, TX","county",05000US48043,,0.153,0.16,,,,40477,38589,38395,38440
"Briscoe County, TX","county",05000US48045,,0.156,0.165,,,,36250,36696,38603,40385
"Brooks County, TX","county",05000US48047,,0.191,0.208,,,,21865,22176,22741,24913
"Brown County, TX","county",05000US48049,0.258,0.165,0.162,4,4,,39776,40982,41962,43235
"Burleson County, TX","county",05000US48051,,0.144,0.148,,,,45651,49533,51821,52513
"Burnet County, TX","county",05000US48053,0.246,0.152,0.151,,5.6,5.6,48115,50712,49732,54259
"Caldwell County, TX","county",05000US48055,,0.166,0.166,,3.7,4,44152,47435,47233,49533
"Calhoun County, TX","county",05000US48057,,0.147,0.143,,,,47027,47546,51078,54167
"Callahan County, TX","county",05000US48059,,0.149,0.156,,,,44902,42102,40981,40568
"Cameron County, TX","county",05000US48061,0.136,0.179,0.144,2.4,2.2,2.1,33179,33390,33266,34578
"Camp County, TX","county",05000US48063,,0.171,0.174,,,,37079,38154,37851,40045
"Carson County, TX","county",05000US48065,,0.132,0.134,,,,65026,63424,66023,64554
"Cass County, TX","county",05000US48067,0.269,0.171,0.165,7.4,7.8,8,35598,36342,37352,39366
"Castro County, TX","county",05000US48069,,0.166,0.169,,,,36402,40470,39459,42733
"Chambers County, TX","county",05000US48071,,0.145,0.153,6.1,6.5,6.7,72489,72239,70544,70396
"Cherokee County, TX","county",05000US48073,0.249,0.183,0.184,3.3,3.3,3.9,38378,38949,39595,40769
"Childress County, TX","county",05000US48075,,0.163,0.172,,,,47532,48682,36633,37125
"Clay County, TX","county",05000US48077,,0.143,0.148,,,,53776,50025,48297,45341
"Cochran County, TX","county",05000US48079,,0.169,0.186,,,,38650,41071,39113,38625
"Coke County, TX","county",05000US48081,,0.13,0.133,,,,40795,40822,42467,41756
"Coleman County, TX","county",05000US48083,,0.164,0.171,,,,31373,34692,35156,42049
"Collin County, TX","county",05000US48085,0.097,0.117,0.126,1.6,1.6,1.7,82762,84233,84735,86188
"Collingsworth County, TX","county",05000US48087,,0.165,0.169,,,,41576,42798,39743,40257
"Colorado County, TX","county",05000US48089,,0.153,0.151,8.5,9,6.9,45146,45262,46618,45398
"Comal County, TX","county",05000US48091,0.169,0.128,0.128,3.7,4.2,3.7,65839,64987,65833,69666
"Comanche County, TX","county",05000US48093,0.22,0.161,0.164,,,,36020,35692,37470,39054
"Concho County, TX","county",05000US48095,,0.139,0.15,,,,51411,52844,48368,48516
"Cooke County, TX","county",05000US48097,,0.15,0.151,5.6,5.8,4.1,50067,51222,52406,56269
"Coryell County, TX","county",05000US48099,0.157,0.166,0.176,3.3,3.4,3.4,49819,49783,49340,49275
"Cottle County, TX","county",05000US48101,,0.154,0.158,,,,34639,34833,34955,33750
"Crane County, TX","county",05000US48103,,0.13,0.138,,,,50417,52451,58333,60133
"Crockett County, TX","county",05000US48105,,0.125,0.13,,,,50475,51594,53678,50646
"Crosby County, TX","county",05000US48107,,0.163,0.166,,,,38187,38668,37434,39026
"Culberson County, TX","county",05000US48109,,0.18,0.169,,,,37105,35302,35000,33981
"Dallam County, TX","county",05000US48111,,0.165,0.164,,,,40895,41105,41345,43897
"Dallas County, TX","county",05000US48113,0.153,0.153,0.155,8.5,8.3,7.6,49481,49925,50270,51411
"Dawson County, TX","county",05000US48115,,0.159,0.167,,,,39714,39746,41095,42354
"Deaf Smith County, TX","county",05000US48117,,0.165,0.163,,,,41444,42995,43373,47219
"Delta County, TX","county",05000US48119,,0.16,0.168,,,,40375,40988,42432,40529
"Denton County, TX","county",05000US48121,0.101,0.136,0.136,1.9,1.8,1.6,74155,74662,75050,76678
"DeWitt County, TX","county",05000US48123,0.321,0.148,0.153,,,,46454,48082,49736,50582
"Dickens County, TX","county",05000US48125,,0.147,0.162,,,,38401,38397,39700,42118
"Dimmit County, TX","county",05000US48127,,0.154,0.155,,,,36681,38140,36825,32204
"Donley County, TX","county",05000US48129,,0.143,0.154,,,,42411,40719,36681,40560
"Duval County, TX","county",05000US48131,,0.164,0.164,,,,34131,32479,33939,33115
"Eastland County, TX","county",05000US48133,0.144,0.163,0.166,,,,34914,35221,34888,34434
"Ector County, TX","county",05000US48135,0.219,0.156,0.155,6,6,6.2,51466,54903,57150,58335
"Edwards County, TX","county",05000US48137,,0.134,0.129,,,,43839,41726,41813,39457
"Ellis County, TX","county",05000US48139,0.134,0.14,0.133,4.6,4.5,4.1,61952,61898,62465,64382
"El Paso County, TX","county",05000US48141,0.152,0.156,0.146,2.9,2.6,2.8,40157,40783,41637,42075
"Erath County, TX","county",05000US48143,,0.173,0.175,,,,39586,40711,41416,42492
"Falls County, TX","county",05000US48145,,0.183,0.182,,,,32908,33587,36079,38547
"Fannin County, TX","county",05000US48147,0.271,0.169,0.164,4.2,4.3,5.1,44355,44432,44071,45471
"Fayette County, TX","county",05000US48149,,0.134,0.14,,,,48015,48711,47808,51290
"Fisher County, TX","county",05000US48151,,0.139,0.141,,,,42125,42850,41406,41531
"Floyd County, TX","county",05000US48153,,0.16,0.169,,,,42279,40993,41026,43070
"Foard County, TX","county",05000US48155,,0.143,0.156,,,,33750,34375,36477,48068
"Fort Bend County, TX","county",05000US48157,0.101,0.12,0.118,4.1,3.9,3.5,85297,86407,89152,91152
"Franklin County, TX","county",05000US48159,,0.154,0.16,,,,45523,44000,41537,42652
"Freestone County, TX","county",05000US48161,0.211,0.154,0.158,,,,44502,44072,44301,45134
"Frio County, TX","county",05000US48163,,0.179,0.182,,,,35849,35681,36404,37163
"Gaines County, TX","county",05000US48165,,0.158,0.156,,,,52910,54434,57635,58788
"Galveston County, TX","county",05000US48167,0.172,0.146,0.165,6.2,6.1,5.3,61877,61744,62313,63064
"Garza County, TX","county",05000US48169,,0.153,0.155,,,,47540,49479,48508,52708
"Gillespie County, TX","county",05000US48171,,0.128,0.132,,,,53668,52414,54859,55850
"Glasscock County, TX","county",05000US48173,,0.12,0.134,,,,69107,81563,67303,62159
"Goliad County, TX","county",05000US48175,,0.137,0.144,,,,50923,49702,51226,54375
"Gonzales County, TX","county",05000US48177,,0.172,0.172,,,,39248,41263,42983,46630
"Gray County, TX","county",05000US48179,0.361,0.155,0.169,,,,43504,45179,43288,45264
"Grayson County, TX","county",05000US48181,0.19,0.162,0.158,3.9,4.1,4.3,46429,47631,47952,50212
"Gregg County, TX","county",05000US48183,0.171,0.17,0.169,8.7,8.2,9.4,45525,46391,47639,47140
"Grimes County, TX","county",05000US48185,,0.167,0.175,,,,43994,46652,46195,47839
"Guadalupe County, TX","county",05000US48187,0.209,0.135,0.142,2.9,2.2,2.7,61958,62412,62420,64599
"Hale County, TX","county",05000US48189,0.282,0.175,0.166,,,,41191,42303,43375,44995
"Hall County, TX","county",05000US48191,,0.171,0.189,,,,33006,33205,30950,27244
"Hamilton County, TX","county",05000US48193,,0.131,0.145,,,,40655,42211,42432,45105
"Hansford County, TX","county",05000US48195,,0.151,0.151,,,,49150,46181,44219,41335
"Hardeman County, TX","county",05000US48197,,0.185,0.168,,,,36377,37656,37174,35156
"Hardin County, TX","county",05000US48199,0.255,0.151,0.157,4.8,4.9,5.7,53013,52438,52614,54352
"Harris County, TX","county",05000US48201,0.157,0.139,0.141,9.2,8.8,8.8,53137,53822,54457,55584
"Harrison County, TX","county",05000US48203,0.225,0.171,0.17,8.4,7.8,7.7,45675,46969,45974,46230
"Hartley County, TX","county",05000US48205,,0.135,0.133,,,,65750,65132,63004,64614
"Haskell County, TX","county",05000US48207,,0.151,0.162,,,,36857,42645,39850,41067
"Hays County, TX","county",05000US48209,0.137,0.142,0.148,2.1,2,2.5,58651,58878,58583,60495
"Hemphill County, TX","county",05000US48211,,0.152,0.154,,,,56379,58281,62813,67773
"Henderson County, TX","county",05000US48213,0.249,0.166,0.173,4.3,3.9,3.3,40900,40299,41607,43434
"Hidalgo County, TX","county",05000US48215,0.12,0.149,0.143,4.6,4.3,3.6,34146,34952,34782,36094
"Hill County, TX","county",05000US48217,0.193,0.16,0.164,,,5.3,40769,40994,41382,43441
"Hockley County, TX","county",05000US48219,0.154,0.158,0.152,,,,50565,50485,50665,50331
"Hood County, TX","county",05000US48221,0.225,0.134,0.138,3,2.4,2.7,55754,54397,56100,58315
"Hopkins County, TX","county",05000US48223,0.284,0.167,0.169,,,,43657,45158,44396,45748
"Houston County, TX","county",05000US48225,,0.175,0.181,7.3,7.4,,33119,32855,32698,32434
"Howard County, TX","county",05000US48227,,0.159,0.167,4.6,5.8,7.2,45612,47994,49575,50977
"Hudspeth County, TX","county",05000US48229,,0.205,0.199,,,,22545,23350,26384,26635
"Hunt County, TX","county",05000US48231,0.34,0.165,0.166,4.2,3.3,3.6,44858,44898,45197,45643
"Hutchinson County, TX","county",05000US48233,,0.167,0.161,,,,44731,47191,49353,50114
"Irion County, TX","county",05000US48235,,0.129,0.132,,,,50357,54886,58500,64100
"Jack County, TX","county",05000US48237,,0.165,0.164,,,,49038,45130,50324,50390
"Jackson County, TX","county",05000US48239,,0.14,0.143,,,,49528,50856,54926,56601
"Jasper County, TX","county",05000US48241,0.224,0.173,0.167,,,,40417,39176,40820,44552
"Jeff Davis County, TX","county",05000US48243,,0.133,0.135,,,,49056,51357,50165,50174
"Jefferson County, TX","county",05000US48245,0.215,0.181,0.187,8.9,9.6,9.1,42568,42368,43540,44965
"Jim Hogg County, TX","county",05000US48247,,0.156,0.155,,,,36121,38013,35521,34769
"Jim Wells County, TX","county",05000US48249,,0.153,0.154,7.6,8,9.7,40585,42463,42986,43321
"Johnson County, TX","county",05000US48251,0.197,0.15,0.153,2.9,2.9,2.9,57535,58221,58135,59095
"Jones County, TX","county",05000US48253,,0.169,0.177,,,,41297,42287,43897,47007
"Karnes County, TX","county",05000US48255,,0.169,0.177,,,,42862,44650,45502,46058
"Kaufman County, TX","county",05000US48257,0.232,0.149,0.154,5,5.4,4.4,61194,61459,60391,60179
"Kendall County, TX","county",05000US48259,0.131,0.125,0.129,,,,73410,74320,73240,76350
"Kenedy County, TX","county",05000US48261,,0.162,0.157,,,,43438,36563,36438,24000
"Kent County, TX","county",05000US48263,,0.135,0.129,,,,46875,46842,47024,50625
"Kerr County, TX","county",05000US48265,0.223,0.141,0.147,5.1,5.4,4.6,43601,42930,43810,44261
"Kimble County, TX","county",05000US48267,,0.139,0.146,,,,43424,40000,40125,41263
"King County, TX","county",05000US48269,,0.138,0.145,,,,65000,54583,63250,57083
"Kinney County, TX","county",05000US48271,,0.161,0.145,,,,33257,32473,38281,34398
"Kleberg County, TX","county",05000US48273,,0.172,0.165,,,,40566,37725,38247,41469
"Knox County, TX","county",05000US48275,,0.155,0.154,,,,34295,37018,40493,42188
"Lamar County, TX","county",05000US48277,0.234,0.17,0.185,6.1,6.7,7.5,40104,41130,40748,40283
"Lamb County, TX","county",05000US48279,,0.172,0.182,,,,36727,37161,39851,41401
"Lampasas County, TX","county",05000US48281,,0.149,0.151,,,,49277,48862,49630,50358
"La Salle County, TX","county",05000US48283,,0.183,0.183,,,,26756,35554,37292,40094
"Lavaca County, TX","county",05000US48285,,0.136,0.138,,,,44149,45780,48677,47753
"Lee County, TX","county",05000US48287,,0.147,0.144,,,,51534,52452,53902,54346
"Leon County, TX","county",05000US48289,0.212,0.146,0.143,,,,44452,48763,49802,47441
"Liberty County, TX","county",05000US48291,0.319,0.172,0.171,5.4,5.2,5,47228,47722,48729,49655
"Limestone County, TX","county",05000US48293,0.492,0.17,0.175,8,8,6.7,38823,39484,37554,37431
"Lipscomb County, TX","county",05000US48295,,0.136,0.137,,,,57978,61151,63125,60163
"Live Oak County, TX","county",05000US48297,,0.149,0.145,,,,42829,44579,50400,50741
"Llano County, TX","county",05000US48299,0.179,0.133,0.136,,,,44094,45205,48259,48562
"Loving County, TX","county",05000US48301,,0.234,0.255,,,,68750,65625,,56875
"Lubbock County, TX","county",05000US48303,0.196,0.174,0.156,5.5,4.8,5.5,44397,45529,46075,46859
"Lynn County, TX","county",05000US48305,,0.156,0.168,,,,44375,41541,39526,40722
"McCulloch County, TX","county",05000US48307,,0.156,0.167,,,,39194,40908,40561,40784
"McLennan County, TX","county",05000US48309,0.21,0.169,0.18,5.5,5,4.7,41922,42544,42687,44246
"McMullen County, TX","county",05000US48311,,0.143,0.136,,,,39500,45208,46250,57589
"Madison County, TX","county",05000US48313,,0.185,0.175,,,,41732,40879,39390,43209
"Marion County, TX","county",05000US48315,0.363,0.165,0.169,,,,31967,34363,34175,35424
"Martin County, TX","county",05000US48317,,0.155,0.155,,,,42607,52232,55682,63992
"Mason County, TX","county",05000US48319,,0.124,0.134,,,,46865,45536,37654,38496
"Matagorda County, TX","county",05000US48321,0.243,0.168,0.167,9,8,6.2,43096,40410,40797,41253
"Maverick County, TX","county",05000US48323,0.124,0.183,0.185,,,,31395,32536,33747,37155
"Medina County, TX","county",05000US48325,,0.135,0.144,5.3,5.4,4,55326,56338,57338,58333
"Menard County, TX","county",05000US48327,,0.133,0.136,,,,31215,34091,34464,37917
"Midland County, TX","county",05000US48329,0.191,0.147,0.151,3.3,3.4,4.3,62993,66966,68806,71424
"Milam County, TX","county",05000US48331,0.22,0.159,0.162,,,,37391,37183,38929,39213
"Mills County, TX","county",05000US48333,,0.136,0.142,,,,44213,44241,43920,44375
"Mitchell County, TX","county",05000US48335,,0.154,0.144,,,,42045,45769,49870,51555
"Montague County, TX","county",05000US48337,,0.145,0.156,,,,44231,45897,46172,46383
"Montgomery County, TX","county",05000US48339,0.134,0.14,0.15,3.6,3.5,3.1,67766,68840,68838,70805
"Moore County, TX","county",05000US48341,,0.162,0.166,,,,51181,48149,49802,50552
"Morris County, TX","county",05000US48343,,0.161,0.157,,,,37849,39387,39453,37902
"Motley County, TX","county",05000US48345,,0.159,0.177,,,,35845,34853,31683,35433
"Nacogdoches County, TX","county",05000US48347,0.233,0.178,0.169,6.2,6.6,5.7,36777,39126,39538,38915
"Navarro County, TX","county",05000US48349,0.238,0.178,0.171,,4.2,4.2,40795,40976,41505,43388
"Newton County, TX","county",05000US48351,,0.168,0.168,10.7,10.8,11,37246,36890,38144,36829
"Nolan County, TX","county",05000US48353,,0.157,0.171,,,,36806,37342,37102,38411
"Nueces County, TX","county",05000US48355,0.26,0.164,0.172,5.9,5.7,5.7,47057,49368,50337,51882
"Ochiltree County, TX","county",05000US48357,,0.153,0.151,,,,49964,51115,51517,50011
"Oldham County, TX","county",05000US48359,,0.159,0.158,,,,48929,51250,50893,52292
"Orange County, TX","county",05000US48361,0.277,0.158,0.166,5.7,6.7,7.1,49507,48766,49763,51443
"Palo Pinto County, TX","county",05000US48363,0.413,0.165,0.169,8.4,7.4,6.6,41670,41370,39516,42824
"Panola County, TX","county",05000US48365,0.293,0.156,0.166,,,,52453,51794,50119,50712
"Parker County, TX","county",05000US48367,0.2,0.144,0.145,3.2,3.1,2.9,64515,64979,67288,67979
"Parmer County, TX","county",05000US48369,,0.149,0.157,,,,44943,46308,45326,48589
"Pecos County, TX","county",05000US48371,,0.145,0.148,,,,47019,49421,50305,51735
"Polk County, TX","county",05000US48373,0.286,0.174,0.171,6.9,5.9,4.4,37855,39412,39662,40864
"Potter County, TX","county",05000US48375,0.224,0.177,0.185,7.9,8.3,6.6,37951,37758,38159,40340
"Presidio County, TX","county",05000US48377,,0.163,0.158,,,,29634,30983,32132,33453
"Rains County, TX","county",05000US48379,,0.144,0.144,,,,44478,46531,48448,50405
"Randall County, TX","county",05000US48381,0.145,0.137,0.144,2.8,2.7,2.5,58529,60895,60972,62635
"Reagan County, TX","county",05000US48383,,0.151,0.152,,,,61250,52692,52181,59257
"Real County, TX","county",05000US48385,,0.149,0.149,,,,33885,37019,36523,37059
"Red River County, TX","county",05000US48387,0.226,0.167,0.174,,,,31712,31344,31563,35016
"Reeves County, TX","county",05000US48389,,0.16,0.161,,,,40571,44950,43540,46464
"Refugio County, TX","county",05000US48391,,0.142,0.141,,,,44548,44688,44240,50145
"Roberts County, TX","county",05000US48393,,0.122,0.135,,,,67321,73182,63889,72500
"Robertson County, TX","county",05000US48395,,0.16,0.158,,9.7,,40601,43371,46501,49142
"Rockwall County, TX","county",05000US48397,,0.13,0.141,2.4,2.2,2.1,86119,86597,87524,89161
"Runnels County, TX","county",05000US48399,,0.163,0.155,,,,37667,38684,41526,41339
"Rusk County, TX","county",05000US48401,0.168,0.164,0.164,4.6,4.1,5.1,45752,46924,46173,47424
"Sabine County, TX","county",05000US48403,,0.161,0.17,,,,32963,33951,31307,32500
"San Augustine County, TX","county",05000US48405,,0.176,0.187,,,,28390,29293,28275,29426
"San Jacinto County, TX","county",05000US48407,,0.157,0.17,8.7,8.8,9.1,46107,46969,43029,44878
"San Patricio County, TX","county",05000US48409,0.197,0.143,0.152,3.7,3.7,3.5,50657,51760,52261,52659
"San Saba County, TX","county",05000US48411,,0.156,0.16,,,,37743,38065,39040,40718
"Schleicher County, TX","county",05000US48413,,0.151,0.141,,,,50648,44643,55543,59766
"Scurry County, TX","county",05000US48415,,0.146,0.142,,,,47513,50829,56842,55661
"Shackelford County, TX","county",05000US48417,,0.152,0.153,,,,47277,50857,48750,50285
"Shelby County, TX","county",05000US48419,0.204,0.188,0.184,9.9,8.6,8.9,37081,36250,37756,36312
"Sherman County, TX","county",05000US48421,,0.155,0.145,,,,48185,49219,51987,52969
"Smith County, TX","county",05000US48423,0.193,0.17,0.175,4.4,4.5,3.7,47432,46669,46929,48683
"Somervell County, TX","county",05000US48425,,0.139,0.147,,,,55269,51190,51912,50562
"Starr County, TX","county",05000US48427,,0.195,0.2,5.8,4.9,3.7,24927,25906,26172,26682
"Stephens County, TX","county",05000US48429,,0.166,0.167,,,,41728,43082,43951,45217
"Sterling County, TX","county",05000US48431,,0.161,0.158,,,,50543,50509,53456,50156
"Stonewall County, TX","county",05000US48433,,0.149,0.158,,,,42429,42321,42155,47969
